txn_id,account_id,booking_date,value_date,amount,fee_amount,currency,txn_type,channel,category,merchant,status,reference,counterparty,description,source_system
TXN000001,ACC10079,2024-04-14,2024-04-14,1.61,0.0,USD,CREDIT,MOBILE,Interest,Delta Air,POSTED,REF218639,CP1161,Interest via MOBILE,SETTLEMENT_FEED
TXN000002,ACC10054,2024-05-01,2024-05-02,101.68,0.0,USD,DEBIT,ACH,Travel,ATM Network,PENDING,REF122591,CP7437,Travel via ACH,SETTLEMENT_FEED
TXN000003,ACC10006,2024-05-16,2024-05-18,18.49,0.0,USD,CREDIT,ACH,Fee,Whole Foods,POSTED,REF539725,CP5574,Fee via ACH,SETTLEMENT_FEED
TXN000004,ACC10053,2024-03-09,2024-03-10,291.95,0.0,USD,CREDIT,MOBILE,Transfer,ATM Network,POSTED,REF750989,CP2262,Transfer via MOBILE,SETTLEMENT_FEED
TXN000005,ACC10059,2024-02-13,2024-02-15,183.57,0.0,GBP,DEBIT,MOBILE,Healthcare,Netflix,POSTED,REF806286,CP8621,Healthcare via MOBILE,SETTLEMENT_FEED
TXN000006,ACC10001,2024-07-18,2024-07-18,207.96,0.0,USD,DEBIT,ACH,Travel,Uber,POSTED,REF939900,CP8808,Travel via ACH,SETTLEMENT_FEED
TXN000007,ACC10060,2024-08-10,2024-08-10,41.07,0.0,EUR,CREDIT,CARD,ATM Withdrawal,Delta Air,SETTLED,REF508506,CP5778,ATM Withdrawal via CARD,SETTLEMENT_FEED
TXN000008,ACC10019,2024-06-28,2024-06-30,1603.43,0.0,USD,DEBIT,WIRE,Restaurant,City Power,POSTED,REF231555,CP2730,Restaurant via WIRE,SETTLEMENT_FEED
TXN000009,ACC10065,2024-02-04,2024-02-05,31.86,0.0,USD,DEBIT,CARD,Restaurant,Amazon,POSTED,REF510091,CP2039,Restaurant via CARD,SETTLEMENT_FEED
TXN000010,ACC10043,2024-07-18,2024-07-18,392.11,0.0,USD,CREDIT,ACH,Payroll,Chase Settlement,POSTED,REF454267,CP8453,Payroll via ACH,SETTLEMENT_FEED
TXN000011,ACC10025,2024-07-29,2024-07-30,8.99,0.0,USD,DEBIT,CARD,Fee,ACME Payroll,POSTED,REF305262,CP3244,Fee via CARD,SETTLEMENT_FEED
TXN000012,ACC10051,2024-01-02,2024-01-02,56.55,0.0,EUR,CREDIT,CARD,Transfer,Whole Foods,POSTED,REF850111,CP1960,Transfer via CARD,SETTLEMENT_FEED
TXN000013,ACC10004,2024-01-24,2024-01-25,44.1,0.0,USD,DEBIT,MOBILE,Fee,Fedwire Hub,PENDING,REF621427,CP8014,Fee via MOBILE,SETTLEMENT_FEED
TXN000014,ACC10050,2024-07-17,2024-07-18,285.02,0.0,USD,CREDIT,ONLINE,ATM Withdrawal,Chase Settlement,PENDING,REF516518,CP8056,ATM Withdrawal via ONLINE,SETTLEMENT_FEED
TXN000015,ACC10030,2024-03-04,2024-03-04,339.68,0.0,USD,CREDIT,CHECK,Grocery,Internal Transfer,POSTED,REF404412,CP4307,Grocery via CHECK,SETTLEMENT_FEED
TXN000016,ACC10040,2024-02-13,2024-02-14,33.08,0.0,GBP,CREDIT,CARD,Utilities,Starbucks,SETTLED,REF924712,CP8686,Utilities via CARD,SETTLEMENT_FEED
TXN000017,ACC10038,2024-05-08,2024-05-08,94.18,0.0,USD,DEBIT,CARD,Healthcare,Netflix,POSTED,REF789654,CP6695,Healthcare via CARD,SETTLEMENT_FEED
TXN000018,ACC10005,2024-05-23,2024-05-24,80.0,15.0,USD,CREDIT,ATM,Travel,Stripe Payout,POSTED,REF652941,CP6725,Travel via ATM,SETTLEMENT_FEED
TXN000019,ACC10007,2024-01-21,2024-01-23,200.0,0.0,GBP,CREDIT,ATM,Transfer,Chase Settlement,POSTED,REF500667,CP8042,Transfer via ATM,SETTLEMENT_FEED
TXN000020,ACC10079,2024-06-22,2024-06-23,5.18,0.0,USD,CREDIT,MOBILE,Interest,Amazon,POSTED,REF254162,CP2163,Interest via MOBILE,SETTLEMENT_FEED
TXN000021,ACC10045,2024-04-21,2024-04-22,64.88,0.0,EUR,DEBIT,CARD,Healthcare,Home Depot,POSTED,REF312137,CP6395,Healthcare via CARD,SETTLEMENT_FEED
TXN000022,ACC10011,2024-06-22,2024-06-22,353.67,0.0,USD,CREDIT,ACH,Restaurant,Fedwire Hub,POSTED,REF796888,CP2874,Restaurant via ACH,SETTLEMENT_FEED
TXN000023,ACC10053,2024-08-03,2024-08-04,17.02,0.0,USD,DEBIT,CARD,Fee,Delta Air,POSTED,REF381715,CP2418,Fee via CARD,SETTLEMENT_FEED
TXN000024,ACC10076,2024-06-25,2024-06-25,1076.48,0.0,GBP,DEBIT,MOBILE,Retail,Stripe Payout,POSTED,REF942525,CP4246,Retail via MOBILE,SETTLEMENT_FEED
TXN000025,ACC10062,2024-03-31,2024-03-31,95.36,0.0,EUR,DEBIT,CARD,Retail,Starbucks,POSTED,REF343870,CP8653,Retail via CARD,SETTLEMENT_FEED
TXN000026,ACC10070,2024-01-08,2024-01-09,272.57,0.0,USD,DEBIT,ACH,ATM Withdrawal,Starbucks,POSTED,REF842858,CP4881,ATM Withdrawal via ACH,SETTLEMENT_FEED
TXN000027,ACC10023,2024-04-16,2024-04-17,57.32,0.0,USD,CREDIT,CARD,Travel,Fedwire Hub,POSTED,REF451833,CP9972,Travel via CARD,SETTLEMENT_FEED
TXN000028,ACC10003,2024-01-11,2024-01-11,4010.89,1.5,USD,DEBIT,WIRE,Subscription,Whole Foods,SETTLED,REF877098,CP1260,Subscription via WIRE,SETTLEMENT_FEED
TXN000029,ACC10019,2024-07-13,2024-07-13,165.05,0.0,USD,DEBIT,ACH,Grocery,Fedwire Hub,POSTED,REF132546,CP1049,Grocery via ACH,SETTLEMENT_FEED
TXN000030,ACC10000,2024-05-25,2024-05-25,3.52,0.0,EUR,CREDIT,ACH,Interest,Chase Settlement,PENDING,REF971375,CP9349,Interest via ACH,SETTLEMENT_FEED
TXN000031,ACC10009,2024-04-19,2024-04-19,6.5,2.5,USD,CREDIT,ATM,Interest,Internal Transfer,POSTED,REF593440,CP6669,Interest via ATM,SETTLEMENT_FEED
TXN000032,ACC10006,2024-01-13,2024-01-13,171.05,0.0,USD,DEBIT,ACH,Subscription,Internal Transfer,POSTED,REF982183,CP7744,Subscription via ACH,SETTLEMENT_FEED
TXN000033,ACC10048,2024-05-27,2024-05-27,39.22,0.0,USD,CREDIT,ACH,Payroll,Fedwire Hub,POSTED,REF434040,CP1825,Payroll via ACH,SETTLEMENT_FEED
